PWS ID,ZIPCODE,postal_code,latitude,longitude
010106001,6338.0,6338.0,41.4757,-71.9574
AL0000013,36051.0,36051.0,32.6841,-86.4946
AL0000023,36507.0,36507.0,30.8635,-87.7644
AL0000180,36801.0,36801.0,32.6454,-85.3783
AL0000262,36784.0,36784.0,31.9067,-87.7598
AL0000314,35616.0,35616.0,34.7442,-87.9724
AL0000540,36022.0,36022.0,32.6082,-86.3958
AL0000577,35901.0,35901.0,34.048,-85.9246
AL0000751,35094.0,35094.0,33.5283,-86.5748
AL0000783,35630.0,35630.0,34.8305,-87.656
AL0000816,36801.0,36801.0,32.6454,-85.3783
AL0000882,35801.0,35801.0,34.7269,-86.5673
AL0001439,36722.0,36722.0,32.0668,-87.5597
AZ0403003,86336.0,86336.0,34.8266,-111.7506
AZ0404008,85501.0,85501.0,33.4024,-110.7892
AZ0404032,85541.0,85541.0,34.2198,-111.2878
AZ0407046,85307.0,85307.0,33.5376,-112.3137
AZ0407092,85142.0,85142.0,33.2487,-111.6343
AZ0407094,85338.0,85338.0,33.4368,-112.3834
AZ0407305,85309.0,85309.0,33.5387,-112.186
AZ0410051,85705.0,85705.0,32.2691,-110.9845
AZ0412011,85648.0,85648.0,31.5084,-111.0757
AZ0413012,86351.0,86351.0,34.7784,-111.7851
AZ0413045,86301.0,86301.0,34.5917,-112.4265
CA0110003,94550.0,94550.0,37.683,-121.763
CA0410002,95926.0,95926.0,39.7458,-121.8444
CA0910002,96150.0,96150.0,38.917,-119.9865
CA1010003,93611.0,93611.0,36.8253,-119.6802
CA1010007,93701.0,93701.0,36.7487,-119.7867
CA1010029,93657.0,93657.0,36.7243,-119.5478
CA1010339,93740.0,93740.0,36.7464,-119.6397
CA1510003,93301.0,93301.0,35.3866,-119.0171
CA1900046,91384.0,91384.0,34.4827,-118.6254
CA1910003,91006.0,91006.0,34.1324,-118.0264
CA1910004,90630.0,90630.0,33.8181,-118.0357
CA1910024,91767.0,91767.0,34.0812,-117.7362
CA1910026,90220.0,90220.0,33.8748,-118.2402
CA1910028,91011.0,91011.0,34.2217,-118.2051
CA1910049,90255.0,90255.0,33.9769,-118.2161
CA1910084,90255.0,90255.0,33.9769,-118.2161
CA1910086,90058.0,90058.0,33.9994,-118.2133
CA1910091,90640.0,90640.0,34.0133,-118.113
CA1910125,90660.0,90660.0,33.9886,-118.0883
CA1910126,91709.0,91709.0,33.9797,-117.7308
CA1910140,91001.0,91001.0,34.1912,-118.1392
CA1910152,90280.0,90280.0,33.9462,-118.2013
CA1910160,90201.0,90201.0,33.9653,-118.1515
CA1910161,90221.0,90221.0,33.8796,-118.2168
CA1910174,90602.0,90602.0,33.9693,-118.0337
CA1910211,90650.0,90650.0,33.9056,-118.0818
CA1910212,91006.0,91006.0,34.1324,-118.0264
CA1910240,91350.0,91350.0,34.4336,-118.5007
CA1910245,90670.0,90670.0,33.9464,-118.0838
CA2310003,95482.0,95482.0,39.1552,-123.1951
CA2410001,95301.0,95301.0,37.3489,-120.6028
CA2410009,95340.0,95340.0,37.2983,-120.4649
CA2710004,93921.0,93921.0,36.5552,-121.9233
CA3010003,90620.0,90620.0,33.8439,-118.008
CA3010062,92840.0,92840.0,33.7869,-117.9273
CA3310025,92860.0,92860.0,33.9247,-117.5517
CA3310026,92567.0,92567.0,33.8123,-117.1048
CA3310038,92562.0,92562.0,33.5631,-117.2738
CA3410010,95608.0,95608.0,38.6284,-121.3287
CA3410017,95624.0,95624.0,38.4232,-121.3599
CA3410020,95652.0,95652.0,38.6621,-121.3955
CA3410029,95624.0,95624.0,38.4232,-121.3599
CA3410045,95815.0,95815.0,38.6093,-121.4443
CA3610005,92317.0,92317.0,34.2112,-117.0796
CA3610014,92324.0,92324.0,34.0315,-117.2874
CA3610024,92345.0,92345.0,34.4222,-117.3025
CA3610034,91761.0,91761.0,34.0316,-117.6187
CA3610037,92354.0,92354.0,34.0528,-117.2513
CA3610112,92342.0,92342.0,34.7499,-117.3367
CA3910004,95240.0,95240.0,38.1222,-121.2555
CA3910015,95330.0,95330.0,37.8209,-121.2827
CA4010002,93422.0,93422.0,35.4754,-120.6638
CA4010016,93402.0,93402.0,35.3172,-120.8333
CA4010832,93423.0,93423.0,35.4282,-120.7695
CA4510005,96001.0,96001.0,40.5605,-122.4116
CA4810008,95687.0,95687.0,38.3482,-121.9538
CA4910012,95476.0,95476.0,38.2849,-122.4696
CA5010010,95350.0,95350.0,37.6746,-121.0113
CA5410010,93257.0,93257.0,36.0686,-119.0315
CA5610008,93010.0,93010.0,34.2313,-119.0464
CA5610063,93012.0,93012.0,34.2218,-118.9866
CO0101157,80602.0,80602.0,39.9636,-104.9072
CO0121900,80817.0,80817.0,38.6996,-104.7005
CO0159105,80435.0,80435.0,39.5952,-105.9741
CT0090011,6801.0,6801.0,41.3813,-73.4008
CT0170011,6010.0,6010.0,41.6823,-72.9302
CT0230011,6001.0,6001.0,41.7905,-72.8653
CT0280011,6415.0,6415.0,41.5662,-72.3441
CT0450011,6333.0,6333.0,41.3668,-72.233
CT0490021,6016.0,6016.0,41.9042,-72.5444
CT0520011,6001.0,6001.0,41.7905,-72.8653
CT0770021,6033.0,6033.0,41.7073,-72.5727
CT0780021,6269.0,6269.0,41.808,-72.251
CT0800011,6037.0,6037.0,41.6215,-72.7457
CT0930011,6401.0,6401.0,41.3427,-73.0742
CT0960011,6755.0,6755.0,41.6486,-73.4835
CT0970011,6470.0,6470.0,41.3931,-73.3167
CT1030011,6840.0,6840.0,41.151,-73.4944
CT1040011,6249.0,6249.0,41.633,-72.244
CT1100011,6062.0,6062.0,41.6727,-72.8644
CT1180011,6877.0,6877.0,41.2977,-73.4973
CT1310011,6444.0,6444.0,41.5637,-72.9257
CT1666011,6716.0,6716.0,41.597,-72.9828
DE00A0323,19930.0,19930.0,38.531,-75.0674
DE0000564,19701.0,19701.0,39.6102,-75.6747
DE0000602,19958.0,19958.0,38.7381,-75.1747
DE0000630,19711.0,19711.0,39.7011,-75.7375
DE0000657,19977.0,19977.0,39.2934,-75.6008
DE0000663,19082.0,19082.0,39.9579,-75.2681
FL1170302,32533.0,32533.0,30.6143,-87.3251
FL1170525,32501.0,32501.0,30.4223,-87.2248
FL1170527,32506.0,32506.0,30.4129,-87.3092
FL1170718,32535.0,32535.0,30.9687,-87.3216
FL1370655,32301.0,32301.0,30.4286,-84.2593
FL1570042,32583.0,32583.0,30.5761,-87.0663
FL1570671,32570.0,32570.0,30.6604,-87.0473
FL2620208,32347.0,32347.0,30.1668,-83.616
FL3050834,32754.0,32754.0,28.6974,-80.8663
FL3310206,32960.0,32960.0,27.633,-80.4031
FL3350346,32726.0,32726.0,28.855,-81.6789
FL3350745,34748.0,34748.0,28.808,-81.8858
FL3350942,32159.0,32159.0,28.9299,-81.9256
FL3351566,34748.0,34748.0,28.808,-81.8858
FL3354781,32159.0,32159.0,28.9299,-81.9256
FL3354883,34711.0,34711.0,28.5525,-81.7574
FL3354916,34714.0,34714.0,28.4113,-81.7812
FL3420922,34470.0,34470.0,29.1989,-82.0874
FL3640286,32720.0,32720.0,29.0266,-81.3349
FL3640287,32725.0,32725.0,28.8989,-81.2473
FL3641336,32713.0,32713.0,28.8846,-81.3065
FL3644328,32725.0,32725.0,28.8989,-81.2473
FL4060254,33441.0,33441.0,26.3096,-80.0992
FL4060573,33009.0,33009.0,25.985,-80.1407
FL4060642,33004.0,33004.0,26.0476,-80.1447
FL4060787,33311.0,33311.0,26.1421,-80.1728
FL4061083,33024.0,33024.0,26.0296,-80.2489
FL4061129,33062.0,33062.0,26.2343,-80.0941
FL4061410,33021.0,33021.0,26.0218,-80.1891
FL4061517,33065.0,33065.0,26.2729,-80.2603
FL4061584,33073.0,33073.0,26.2997,-80.181
FL4130077,33181.0,33181.0,25.8965,-80.157
FL4130089,33154.0,33154.0,25.7907,-80.13
FL4130604,33010.0,33010.0,25.8325,-80.2808
FL4130871,33031.0,33031.0,25.5323,-80.5075
FL4130901,33139.0,33139.0,25.7873,-80.1564
FL4130970,33141.0,33141.0,25.8486,-80.1446
FL4130977,33160.0,33160.0,25.9449,-80.1391
FL4131001,33054.0,33054.0,25.9097,-80.247
FL4134357,33001.0,33001.0,24.8306,-80.8049
FL4500145,33425.0,33425.0,26.5253,-80.0664
FL4500773,33460.0,33460.0,26.6182,-80.056
FL4500784,33462.0,33462.0,26.5747,-80.0794
FL4501438,33469.0,33469.0,26.9831,-80.108
FL4504903,33470.0,33470.0,26.7383,-80.276
FL4560490,34945.0,34945.0,27.4382,-80.444
FL4560971,34949.0,34949.0,27.3896,-80.2615
FL5110142,34142.0,34142.0,26.1844,-81.4152
FL5110198,34102.0,34102.0,26.134,-81.7953
FL5360172,33936.0,33936.0,26.5936,-81.6619
FL6290327,33602.0,33602.0,27.9614,-82.4597
FL6290333,33578.0,33578.0,27.8633,-82.3499
FL6290787,33510.0,33510.0,27.9551,-82.2966
FL6296141,33567.0,33567.0,27.922,-82.1216
FL6296193,33621.0,33621.0,27.8491,-82.4946
FL6421144,34473.0,34473.0,29.0058,-82.1828
FL6424652,34476.0,34476.0,29.1159,-82.2422
FL6510050,34690.0,34690.0,28.1913,-82.7279
FL6510324,34668.0,34668.0,28.3011,-82.6927
FL6511311,34690.0,34690.0,28.1913,-82.7279
FL6511361,33541.0,33541.0,28.2311,-82.2057
FL6512020,33525.0,33525.0,28.3318,-82.2446
FL6521784,34688.0,34688.0,28.1458,-82.6825
FL6530431,33836.0,33836.0,28.1672,-81.6316
FL6531992,33880.0,33880.0,27.9873,-81.7625
FL6600990,33538.0,33538.0,28.7953,-82.1363
FL6604862,32159.0,32159.0,28.9299,-81.9256
GA0230000,31014.0,31014.0,32.3981,-83.3229
GA0510002,31407.0,31407.0,32.1491,-81.1632
GA0570003,30188.0,30188.0,34.106,-84.5117
GA0630000,30236.0,30236.0,33.5242,-84.359
GA1290000,30139.0,30139.0,34.4362,-84.6999
GA1450011,31804.0,31804.0,32.6242,-84.9207
GA1530000,31028.0,31028.0,32.6344,-83.6768
GA1690000,31032.0,31032.0,33.0172,-83.54
GA2450000,30815.0,30815.0,33.3433,-82.0887
GA2910000,30512.0,30512.0,34.8763,-83.992
IA9778054,51101.0,51101.0,42.4972,-96.4029
ID4010022,83704.0,83704.0,43.633,-116.2951
IL0890800,60177.0,60177.0,41.9969,-88.2986
IL0950200,61401.0,61401.0,40.9521,-90.3698
IL1435030,61523.0,61523.0,40.9013,-89.5068
IL1770200,61032.0,61032.0,42.2991,-89.6345
IL1970250,60403.0,60403.0,41.5548,-88.0987
IN5207001,46151.0,46151.0,39.4776,-86.4668
IN5210003,47111.0,47111.0,38.4568,-85.6606
IN5210006,47111.0,47111.0,38.4568,-85.6606
IN5271014,46530.0,46530.0,41.7427,-86.1411
IN5284015,47885.0,47885.0,39.4984,-87.4688
KS2000911,67530.0,67530.0,38.3936,-98.7751
KS2006114,66442.0,66442.0,39.0619,-96.7873
KY0300387,42303.0,42303.0,37.7559,-87.0803
KY0300467,42366.0,42366.0,37.7183,-86.9372
KY1050157,40324.0,40324.0,38.2117,-84.5562
MA2002000,1718.0,1718.0,42.4851,-71.4328
MA2134000,1520.0,1520.0,42.342,-71.8414
MA2174000,1720.0,1720.0,42.4751,-71.4483
MA2186000,1527.0,1527.0,42.1968,-71.7644
MA2187000,2054.0,2054.0,42.1669,-71.3607
MA2232000,1463.0,1463.0,42.6689,-71.5934
MA2294000,1436.0,1436.0,42.5936,-72.0646
MA3056000,1824.0,1824.0,42.5911,-71.3556
MA3067000,1720.0,1720.0,42.4751,-71.4483
MA3119000,1982.0,1982.0,42.6185,-70.8561
MA3144000,1938.0,1938.0,42.6809,-70.8494
MA3164000,1940.0,1940.0,42.5327,-71.0339
MA3180000,1860.0,1860.0,42.8346,-71.0047
MA3254000,1969.0,1969.0,42.7138,-70.907
MA3315000,1778.0,1778.0,42.3486,-71.3588
MA4018000,2332.0,2332.0,42.0399,-70.7163
MA4020000,2630.0,2630.0,41.6983,-70.3001
MA4040000,2184.0,2184.0,42.2093,-70.9963
MA4042000,2324.0,2324.0,41.9773,-70.9723
MA4050000,2021.0,2021.0,42.1645,-71.1355
MA4088000,2334.0,2334.0,42.0235,-71.1324
MA4122000,2339.0,2339.0,42.1214,-70.857
MA4218000,2766.0,2766.0,41.9718,-71.1894
MA4219000,2061.0,2061.0,42.1596,-70.8217
MA4238000,2762.0,2762.0,42.0124,-71.3275
MA4264000,2061.0,2061.0,42.1596,-70.8217
MD0060003,21074.0,21074.0,39.6146,-76.8644
MD0060006,21102.0,21102.0,39.6747,-76.8941
MD0060007,21771.0,21771.0,39.3881,-77.1723
MD0060012,21787.0,21787.0,39.6658,-77.1691
MD0060015,21157.0,21157.0,39.5642,-76.9807
MD0120001,21001.0,21001.0,39.5109,-76.1805
MD0120003,21014.0,21014.0,39.5394,-76.3564
MD0150002,20837.0,20837.0,39.1386,-77.4067
MD0220004,21801.0,21801.0,38.3824,-75.6336
MD1100052,21703.0,21703.0,39.3647,-77.4636
MD1130003,21042.0,21042.0,39.2726,-76.8614
MI0003520,49001.0,49001.0,42.2736,-85.5457
MN1050004,56379.0,56379.0,45.604,-94.1591
MN1090005,55720.0,55720.0,46.7546,-92.5408
MN1730039,56387.0,56387.0,45.5497,-94.2245
MN1820009,55042.0,55042.0,44.9946,-92.9056
MN1820025,55125.0,55125.0,44.9197,-92.9439
MO3010130,65020.0,65020.0,38.0185,-92.7677
NC0136025,28016.0,28016.0,35.2849,-81.2863
NC0201015,27217.0,27217.0,36.1288,-79.4114
NC0239107,27509.0,27509.0,36.1359,-78.7636
NC0241010,27214.0,27214.0,36.2019,-79.7101
NC0241030,27260.0,27260.0,35.954,-79.9884
NC0276030,27263.0,27263.0,35.9359,-79.9395
NC0326010,28301.0,28301.0,35.0743,-78.8836
NC0332010,27560.0,27560.0,35.8344,-78.8466
NC0343010,27504.0,27504.0,35.4037,-78.5421
NC0351015,27576.0,27576.0,35.5565,-78.264
NC0353010,27330.0,27330.0,35.4698,-79.1717
NC0363108,27376.0,27376.0,35.2512,-79.536
NC0378055,28301.0,28301.0,35.0743,-78.8836
NC0410045,28401.0,28401.0,34.2257,-77.9447
NC0416020,28570.0,28570.0,34.7551,-76.9069
NC0454025,28501.0,28501.0,35.2783,-77.586
NC0466110,27842.0,27842.0,36.5274,-77.8546
NC0474035,28530.0,28530.0,35.3757,-77.4193
NC0496055,27531.0,27531.0,35.343,-77.9644
NC4064005,27557.0,27557.0,35.7665,-78.2062
NC5043001,28326.0,28326.0,35.3106,-79.3472
NC5063011,27376.0,27376.0,35.2512,-79.536
NE3107902,68801.0,68801.0,40.9219,-98.3411
NE3111106,69101.0,69101.0,41.1326,-100.7746
NH1031010,3811.0,3811.0,42.837,-71.1603
NH1221010,3452.0,3452.0,42.8178,-72.0275
NH1371010,3052.0,3052.0,42.843,-71.455
NH1391010,3032.0,3032.0,42.9925,-71.3449
NH1471010,3103.0,3103.0,42.9656,-71.4493
NH1951010,3801.0,3801.0,43.0729,-70.8052
NJ0201001,7401.0,7401.0,41.0327,-74.1342
NJ0221001,7026.0,7026.0,40.8789,-74.1081
NJ0228001,7423.0,7423.0,41.0004,-74.1025
NJ0231001,7644.0,7644.0,40.8764,-74.0838
NJ0232001,7071.0,7071.0,40.8094,-74.1245
NJ0242001,7417.0,7417.0,41.0081,-74.2113
NJ0247001,7656.0,7656.0,41.0343,-74.0396
NJ0251001,7432.0,7432.0,40.9957,-74.1409
NJ0306001,8016.0,8016.0,40.068,-74.8454
NJ0315001,8518.0,8518.0,40.118,-74.8055
NJ0324001,8054.0,8054.0,39.9478,-74.9036
NJ0436007,8037.0,8037.0,39.638,-74.7728
NJ0705001,7018.0,7018.0,40.7558,-74.2198
NJ0712001,7039.0,7039.0,40.7896,-74.3202
NJ0714001,7003.0,7003.0,40.8035,-74.1891
NJ0721001,7006.0,7006.0,40.8545,-74.2789
NJ0801001,8312.0,8312.0,39.659,-75.0942
NJ0821001,8093.0,8093.0,39.8605,-75.1323
NJ0904001,7029.0,7029.0,40.7445,-74.1508
NJ1005001,8801.0,8801.0,40.6287,-74.8855
NJ1014001,8801.0,8801.0,40.6287,-74.8855
NJ1106316,8560.0,8560.0,40.3077,-74.8655
NJ1213002,8831.0,8831.0,40.3192,-74.4285
NJ1221004,8810.0,8810.0,40.3825,-74.5111
NJ1339001,7730.0,7730.0,40.4226,-74.1799
NJ1345001,7701.0,7701.0,40.3584,-74.0681
NJ1349001,7762.0,7762.0,40.1542,-74.0379
NJ1350001,7735.0,7735.0,40.4332,-74.1996
NJ1352003,7719.0,7719.0,40.1688,-74.072
NJ1401001,7005.0,7005.0,40.9115,-74.414
NJ1403001,7405.0,7405.0,40.9988,-74.4261
NJ1408001,7834.0,7834.0,40.8897,-74.4844
NJ1410001,7936.0,7936.0,40.8192,-74.3636
NJ1411001,7932.0,7932.0,40.7757,-74.3928
NJ1416001,7035.0,7035.0,40.9208,-74.2995
NJ1421003,7045.0,7045.0,40.9049,-74.3646
NJ1424001,7927.0,7927.0,40.8223,-74.4569
NJ1427001,7828.0,7828.0,40.8731,-74.7426
NJ1427005,7828.0,7828.0,40.8731,-74.7426
NJ1428001,7828.0,7828.0,40.8731,-74.7426
NJ1429001,7034.0,7034.0,40.8825,-74.383
NJ1434001,7801.0,7801.0,40.9176,-74.5467
NJ1436003,7850.0,7850.0,40.9087,-74.6554
NJ1438004,7840.0,7840.0,40.8529,-74.8343
NJ1507005,8753.0,8753.0,39.9771,-74.1565
NJ1514002,8701.0,8701.0,40.085,-74.2042
NJ1605001,7424.0,7424.0,40.8835,-74.2144
NJ1613002,7465.0,7465.0,41.0544,-74.279
NJ1708001,8023.0,8023.0,39.6815,-75.4934
NJ1918004,7871.0,7871.0,41.0277,-74.6407
NJ2121001,7863.0,7863.0,40.8105,-75.0019
NV0000190,89431.0,89431.0,39.5473,-119.7556
NY0301651,13903.0,13903.0,42.0811,-75.8977
NY1200270,13733.0,13733.0,42.312,-75.4894
NY1302766,12524.0,12524.0,41.5404,-73.8979
NY1930059,12414.0,12414.0,42.2276,-73.8985
NY2902824,11530.0,11530.0,40.7245,-73.6487
NY2902826,11542.0,11542.0,40.865,-73.6277
NY2902830,11001.0,11001.0,40.7236,-73.7058
NY2902856,11590.0,11590.0,40.7557,-73.5723
NY2902858,11596.0,11596.0,40.7592,-73.6449
NY3503524,10918.0,10918.0,41.3554,-74.2651
NY3503535,10950.0,10950.0,41.3286,-74.1885
NY4303673,10901.0,10901.0,41.1177,-74.1241
NY5001209,14830.0,14830.0,42.1383,-77.0475
NY5110526,11701.0,11701.0,40.6842,-73.4171
NY5903150,10549.0,10549.0,41.205,-73.7299
NY5917221,10589.0,10589.0,41.3346,-73.6951
OH0700011,43713.0,43713.0,39.9853,-81.1375
OH1300812,45140.0,45140.0,39.2445,-84.2588
OH2903012,45387.0,45387.0,39.7996,-83.8891
OH2903312,45433.0,45433.0,39.8138,-84.059
OH3101112,45111.0,45111.0,39.1962,-84.2897
OH3102612,45001.0,45001.0,39.1374,-84.7096
OH5701315,45342.0,45342.0,39.6321,-84.2675
OH5703512,45315.0,45315.0,39.8551,-84.3399
OH5750615,45405.0,45405.0,39.7899,-84.2135
OH7802003,44420.0,44420.0,41.1611,-80.6933
OH8300512,45036.0,45036.0,39.4293,-84.1735
OH8400712,45750.0,45750.0,39.4281,-81.4644
OH8402703,45714.0,45714.0,39.2868,-81.5968
OK1021508,74011.0,74011.0,35.9908,-95.8143
OK1021528,74011.0,74011.0,35.9908,-95.8143
OK1021529,74014.0,74014.0,36.0544,-95.7223
OR4100100,97701.0,97701.0,44.0928,-121.2936
OR4100262,97115.0,97115.0,45.2776,-123.0152
OR4100372,97838.0,97838.0,45.845,-119.2849
OR4100508,97454.0,97454.0,44.2064,-122.8246
PA1090005,18901.0,18901.0,40.3054,-75.1489
PA1090043,18940.0,18940.0,40.263,-74.9555
PA1090063,18966.0,18966.0,40.1868,-75.0071
PA1090074,8618.0,8618.0,40.2377,-74.7821
PA1090962,18940.0,18940.0,40.263,-74.9555
PA1150035,19053.0,19053.0,40.1547,-74.9904
PA1150089,19320.0,19320.0,39.9843,-75.8253
PA1150098,19025.0,19025.0,40.1431,-75.1624
PA1150108,19348.0,19348.0,39.855,-75.7
PA1150137,19320.0,19320.0,39.9843,-75.8253
PA1150166,19426.0,19426.0,40.1913,-75.4373
PA1460022,19426.0,19426.0,40.1913,-75.4373
PA1460028,19040.0,19040.0,40.1785,-75.1072
PA1460033,18914.0,18914.0,40.2892,-75.2149
PA1460042,18074.0,18074.0,40.3157,-75.5022
PA1460069,19426.0,19426.0,40.1913,-75.4373
PA2400076,18612.0,18612.0,41.3494,-75.9834
PA2400115,18612.0,18612.0,41.3494,-75.9834
PA2400370,18627.0,18627.0,41.3166,-76.021
PA2660014,18657.0,18657.0,41.5387,-75.9466
PA3060018,19508.0,19508.0,40.2563,-75.8344
PA3390073,18049.0,18049.0,40.5293,-75.501
PA4190013,18603.0,18603.0,41.0665,-76.2443
PA5020010,15108.0,15108.0,40.5,-80.1996
PA7010022,17340.0,17340.0,39.7495,-77.1003
PA7010025,17350.0,17350.0,39.8775,-77.0643
PA7210002,17013.0,17013.0,40.2417,-77.1983
PA7210028,17055.0,17055.0,40.179,-77.0036
PA7220034,17061.0,17061.0,40.5587,-76.9305
PA7360099,17557.0,17557.0,40.1005,-76.0801
PA7360113,17517.0,17517.0,40.2297,-76.1157
PA7360124,17022.0,17022.0,40.1553,-76.6025
PA7360345,17545.0,17545.0,40.1702,-76.4168
PA7670061,17319.0,17319.0,40.1545,-76.8019
PA7670062,17363.0,17363.0,39.772,-76.597
PA7670071,17019.0,17019.0,40.0964,-77.0339
PA7670088,17361.0,17361.0,39.7601,-76.6748
RI1559517,2852.0,2852.0,41.5894,-71.4625
RI1615623,2879.0,2879.0,41.4437,-71.5342
RI1858422,2881.0,2881.0,41.4803,-71.5292
SC0820009,29431.0,29431.0,33.2703,-79.8736
SC1010005,29439.0,29439.0,32.663,-79.927
SC1010008,29455.0,29455.0,32.7924,-80.1081
SC1110002,29702.0,29702.0,35.1095,-81.4942
SC1120002,28114.0,28114.0,35.2295,-81.7492
SC1120003,29340.0,29340.0,35.0615,-81.6491
SC1120004,29330.0,29330.0,35.039,-81.822
SC1850009,29456.0,29456.0,32.993,-80.1257
SC2620004,29511.0,29511.0,33.9823,-79.1777
SC2810001,29020.0,29020.0,34.2696,-80.591
SC3010002,29325.0,29325.0,34.4707,-81.8772
SC3020001,29325.0,29325.0,34.4707,-81.8772
SC3210001,29072.0,29072.0,33.9724,-81.2359
SC3520002,29821.0,29821.0,33.6505,-82.1488
SC3610001,29108.0,29108.0,34.2847,-81.6157
SC4010501,29207.0,29207.0,34.0197,-80.9391
SC4120001,29006.0,29006.0,33.8702,-81.5505
SC4410001,29379.0,29379.0,34.7269,-81.6202
SD4680046,57751.0,57751.0,43.8848,-103.3995
TN0000430,37330.0,37330.0,35.2705,-86.1396
TN0000541,38363.0,38363.0,35.6664,-88.1195
TN0000546,38326.0,38326.0,35.0394,-88.2936
TN0000611,38372.0,38372.0,35.2023,-88.2005
TN0000628,37160.0,37160.0,35.4863,-86.4624
TN0000707,38382.0,38382.0,35.9712,-88.9507
TN0000820,42223.0,42223.0,36.6543,-87.4606
TX0300005,79510.0,79510.0,32.3803,-99.5184
TX0710001,79821.0,79821.0,31.9907,-106.5976
TX0720001,76446.0,76446.0,32.0909,-98.3455
TX1010003,77520.0,77520.0,29.7461,-94.9653
TX1010056,77058.0,77058.0,29.5716,-95.0998
TX1160004,75401.0,75401.0,33.1854,-96.1304
TX1290006,75160.0,75160.0,32.7515,-96.2831
TX2200012,76008.0,76008.0,32.7004,-97.6039
TX2200014,76111.0,76111.0,32.7824,-97.3003
TX2210001,79601.0,79601.0,32.4682,-99.7182
TX2270033,76574.0,76574.0,30.5708,-97.4094
TX2360001,77320.0,77320.0,30.847,-95.597
UTAH27006,84784.0,84784.0,37.0044,-112.9784
VA2770900,24002.0,24002.0,37.2742,-79.9579
VA6059455,22060.0,22060.0,38.6947,-77.1433
VA6061318,20187.0,20187.0,38.7153,-77.7417
VA6107650,20141.0,20141.0,39.1164,-77.7802
VA6153060,22134.0,22134.0,38.531,-77.3358
VA6153625,20112.0,20112.0,38.6665,-77.4248
WA5305800,99320.0,99320.0,46.2806,-119.4913
WA5310800,98607.0,98607.0,45.6058,-122.4142
WA5313333,98601.0,98601.0,45.9195,-122.4574
WA5326050,98433.0,98433.0,47.1125,-122.5891
WA5338100,99336.0,99336.0,46.2109,-119.168
WA5340900,98029.0,98029.0,47.5585,-122.0055
WA5352200,98433.0,98433.0,47.1125,-122.5891
WA5356300,98837.0,98837.0,47.1374,-119.2891
WA5366200,98387.0,98387.0,47.0732,-122.3943
WA5389250,99216.0,99216.0,47.6634,-117.2193
WA5391200,98660.0,98660.0,45.6418,-122.6801
WI2670110,53027.0,53027.0,43.3157,-88.3707
WI2670112,53040.0,53040.0,43.5214,-88.1925
WI2680205,53029.0,53029.0,43.1172,-88.3446
WI4150526,54235.0,54235.0,44.8438,-87.3753
WI6320309,54601.0,54601.0,43.7989,-91.2175
WI6480243,54021.0,54021.0,44.7476,-92.7535
WI7370162,54403.0,54403.0,44.9529,-89.5318
WI7720165,54449.0,54449.0,44.6615,-90.1784
WI8581084,54843.0,54843.0,45.9552,-91.2783
WV3301520,26034.0,26034.0,40.5981,-80.5584
WV3305203,26155.0,26155.0,39.6588,-80.8565
WV3305404,26101.0,26101.0,39.2644,-81.5354
WV3305407,26101.0,26101.0,39.2644,-81.5354
WV3305412,26187.0,26187.0,39.3824,-81.4566
WY5600047,82501.0,82501.0,43.0351,-108.2024
